Site,Plot,Tag,Extra_tag,Species_code,DBH_cm_2018,State_2018,Date_2018,DBH_cm_2019,State_2019,Date_2019,Notes,Species
SERC,HSHE,931,NA,ACRU,33.7,Alive,2018-04-13,33.9,Alive,2019-04-16,NA,ACRU
SERC,HSHE,942,NA,ACRU,17.3,Alive,2018-04-13,17.2,Alive,2019-04-16,NA,ACRU
SERC,HSHE,929,NA,ACRU,11,Alive,2018-04-13,10.9,Alive,2019-04-16,NA,ACRU
SERC,HSHE,921,NA,ACRU,12.4,Alive,2018-04-13,12.4,Alive,2019-04-16,NA,ACRU
SERC,HSHE,923,NA,FAGR,9.1,Alive,2018-04-13,9.1,Alive,2019-04-16,NA,FAGR
SERC,HSHE,904,NA,FAGR,7.3,Alive,2018-04-13,7.5,Alive,2019-04-16,NA,FAGR
SERC,HSHE,911,NA,FAGR,11.5,Alive,2018-04-13,11.7,Alive,2019-04-16,NA,FAGR
SERC,HSHE,917,NA,FAGR,11.4,Alive,2018-04-13,11.6,Alive,2019-04-16,NA,FAGR
SERC,HSHE,925,NA,FAGR,23.5,Alive,2018-04-13,24,Alive,2019-04-16,NA,FAGR
SERC,HSHE,936,NA,FAGR,5.9,Alive,2018-04-13,6,Alive,2019-04-16,NA,FAGR
SERC,HSHE,901,NA,FAGR,59.7,Alive,2018-04-13,59.7,Alive,2019-04-16,NA,FAGR
SERC,HSHE,902,NA,FAGR,25.4,Alive,2018-04-13,24.5,Alive,2019-04-16,NA,FAGR
SERC,HSHE,939,NA,FAGR,6.7,Alive,2018-04-13,6.8,Alive,2019-04-16,NA,FAGR
SERC,HSHE,934,NA,FAGR,12.3,Alive,2018-04-13,12.7,Alive,2019-04-16,NA,FAGR
SERC,HSHE,946,NA,FAGR,16.4,Alive,2018-04-13,16.7,Alive,2019-04-16,NA,FAGR
SERC,HSHE,909,NA,FAGR,4.3,Alive,2018-04-13,4.3,Alive,2019-04-16,NA,FAGR
SERC,HSHE,947,NA,FAGR,15.6,Alive,2018-04-13,16,Alive,2019-04-16,NA,FAGR
SERC,HSHE,903,NA,FAGR,NA,Alive,2018-04-13,NA,Alive,2019-04-16,"Not found, check 2018 sheet",FAGR
SERC,HSHE,933,NA,FAGR,2.5,Alive,2018-04-13,2.6,Alive,2019-04-16,NA,FAGR
SERC,HSHE,937,NA,FAGR,2.3,Alive,2018-04-13,2.3,Alive,2019-04-16,NA,FAGR
SERC,HSHE,945,NA,FAGR,16.1,Alive,2018-04-13,16.3,Alive,2019-04-16,NA,FAGR
SERC,HSHE,924,NA,FAGR,10.1,Alive,2018-04-13,10.3,Alive,2019-04-16,NA,FAGR
SERC,HSHE,915,NA,FAGR,5.2,Alive,2018-04-13,5.4,Alive,2019-04-16,Check 2018 sheet,FAGR
SERC,HSHE,913,NA,FAGR,16.1,Alive,2018-04-13,16.3,Alive,2019-04-16,NA,FAGR
SERC,HSHE,907,NA,LIST,13.6,Alive,2018-04-13,13.6,Alive,2019-04-16,NA,LIST
SERC,HSHE,941,NA,NYSY,13.4,Alive,2018-04-13,13.4,Alive,2019-04-16,NA,NYSY
SERC,HSLE,719,NA,ACRU,22.3,Alive,2018-04-13,22.5,Alive,2019-04-16,NA,ACRU
SERC,HSLE,718,NA,ACRU,35.6,Alive,2018-04-13,35.6,Alive,2019-04-16,NA,ACRU
