Plot,Section,Tag,DBH,Species_code,Alive,Sapflux,Notes,Species
Control,East,1324,13.7,NA,Yes,NA,NA,NA
Control,Center,1397,20.7,ACRU,Yes,NA,NA,ACRU
Control,Center,1394,28.8,ACRU,Yes,NA,NA,ACRU
Control,West,1439,31.8,ACRU,Yes,S7,NA,ACRU
Control,West,1436,25.8,ACRU,Yes,S8,NA,ACRU
Control,Center,1362,11.5,ACRU,Yes,NA,NA,ACRU
Control,East,1303,18.7,ACRU,Yes,NA,NA,ACRU
Control,West,1431,11.6,ACRU,Yes,NA,NA,ACRU
Control,West,1437,36.5,ACRU,Yes,NA,NA,ACRU
Control,East,1328,27.8,ACRU,Yes,NA,NA,ACRU
Control,East,1339,36.1,ACRU,Yes,NA,NA,ACRU
Control,East,1348,31.6,ACRU,Yes,NA,NA,ACRU
Control,Center,1395,34.6,ACRU,Yes,NA,NA,ACRU
Control,West,1446,17.2,ACRU,Yes,NA,NA,ACRU
Control,East,1343,11.2,ACRU,Yes,NA,NA,ACRU
Control,West,1448,9,ACRU,Yes,NA,NA,ACRU
Control,Center,1399,26.7,ACRU,Yes,NA,NA,ACRU
Control,East,1302,11.7,ACRU,Yes,NA,NA,ACRU
Control,East,1319,19.9,ACRU,Yes,NA,NA,ACRU
Control,Center,1392,10.5,ACRU,Yes,NA,NA,ACRU
Control,East,1313,15,ACRU,Yes,NA,NA,ACRU
Control,Center,1383,15,ACRU,Yes,NA,NA,ACRU
Control,Center,1387,35.9,ACRU,Yes,NA,NA,ACRU
Control,East,1320,10,ACRU,Yes,NA,NA,ACRU
Control,West,1420,8.6,ACRU,Yes,NA,NA,ACRU
Control,West,1433,9.8,ACRU,Yes,NA,NA,ACRU
Control,East,1347,30,ACRU,Yes,NA,NA,ACRU
Control,Center,1388,8.4,ACRU,Yes,NA,NA,ACRU
Control,Center,1396,12.7,ACRU,Yes,NA,NA,ACRU
Control,East,1317,21,CAGL8,Yes,NA,NA,CAGL
Control,East,1326,14.8,CAGL8,Yes,NA,NA,CAGL
Control,West,1428,22.8,CAGL8,Yes,NA,NA,CAGL
Control,West,1410,17.8,CAGL8,Yes,NA,NA,CAGL
Control,West,1423,12.5,CAGL8,Yes,NA,NA,CAGL
Control,West,1429,23.9,CAGL8,Yes,NA,NA,CAGL
Control,East,1321,14.5,CAGL8,Yes,NA,NA,CAGL
Control,East,1336,18.2,CAGL8,Yes,NA,NA,CAGL
Control,East,1312,26.3,CAGL8,Yes,NA,NA,CAGL
Control,East,1335,11.3,CAGL8,Yes,NA,NA,CAGL
Control,East,1340,23.3,CAGL8,Yes,NA,NA,CAGL
Control,Center,1393,10.4,CAGL8,Yes,NA,NA,CAGL
Control,West,1435,29.8,CAGL8,Yes,NA,NA,CAGL
Control,East,1301,10.7,COFL2,Yes,NA,NA,COFL
Control,Center,1401,14.4,COFL2,Yes,NA,NA,COFL
Control,Center,1355,12.6,COFL2,Yes,NA,NA,COFL
Control,West,1430,6.6,COFL2,Yes,NA,NA,COFL
Control,Center,1382,6.5,COFL2,Yes,NA,NA,COFL
Control,West,1434,3.2,COFL2,Yes,NA,NA,COFL
Control,West,1442,7.6,COFL2,Yes,NA,NA,COFL
Control,Center,1386,10.7,COFL2,Yes,NA,NA,COFL
Control,West,1404,5.7,COFL2,Yes,NA,NA,COFL
Control,East,1344,5.4,FAGR,Yes,NA,NA,FAGR
Control,Center,1391,7.4,FAGR,Yes,NA,NA,FAGR
Control,Center,1374,14.2,FAGR,Yes,NA,NA,FAGR
Control,Center,1368,7.2,FAGR,Yes,NA,NA,FAGR
Control,Center,1380,43.9,FAGR,Yes,NA,NA,FAGR
Control,West,1445,13.4,FAGR,Yes,NA,NA,FAGR
Control,West,1414,13.3,FAGR,Yes,NA,NA,FAGR
Control,Center,1390,31.1,FAGR,Yes,NA,NA,FAGR
Control,West,1407,37.2,FAGR,Yes,NA,NA,FAGR
Control,East,1337,14.3,FAGR,Yes,NA,NA,FAGR
Control,Center,1356,6.5,FAGR,Yes,NA,NA,FAGR
Control,East,1332,12.7,FAGR,Yes,NA,NA,FAGR
Control,East,1353,9,FAGR,Yes,NA,NA,FAGR
Control,East,1350,4.5,FAGR,Yes,NA,NA,FAGR
Control,East,1318,5,FAGR,Yes,NA,NA,FAGR
Control,Center,1381,9.5,FAGR,Yes,NA,NA,FAGR
Control,East,1349,10.1,FAGR,Yes,NA,NA,FAGR
Control,East,1329,6.6,FAGR,Yes,NA,NA,FAGR
Control,West,1418,15.7,FAGR,Yes,NA,NA,FAGR
Control,East,1308,5.9,FAGR,Yes,NA,NA,FAGR
Control,Center,1373,13.3,FAGR,Yes,NA,NA,FAGR
Control,West,1412,24.5,FAGR,Yes,NA,NA,FAGR
Control,West,1403,8.9,FAGR,Yes,NA,NA,FAGR
Control,West,1438,9.9,FAGR,Yes,NA,NA,FAGR
Control,West,1432,28.2,FAGR,Yes,NA,NA,FAGR
Control,East,1351,2,FAGR,Yes,NA,NA,FAGR
Control,Center,1365,22.5,FAGR,Yes,NA,NA,FAGR
Control,East,1342,16.6,FAGR,Yes,NA,NA,FAGR
Control,East,1309,11.6,FAGR,Yes,NA,NA,FAGR
Control,East,1338,4.7,FAGR,Yes,NA,NA,FAGR
Control,Center,1369,8.3,FAGR,Yes,NA,NA,FAGR
