Plot,Longitude,Latitude,Altitude
Control,-76.55199,38.87438,4
Salt,-76.55237,38.87396,4
Fresh,-76.55157,38.8738,4
Shore,-76.55144,38.87449,1
LSHE,-76.56173,38.88834,
LSLE,-76.56165,38.88788,
LSME,-76.56186,38.88824,
Canoe Shed,-76.558976,38.88493,
