Species                 ,Species Common ,Number of Trees Sampled,Average Diameter (cm)
Acer rubrum             ,Red maple ,26,21.3
Carya glabra.           ,Pignut hickory ,6,20.28
Cornus florida.         ,Flowering dogwood ,2,3.2
Fagus grandifolia       ,American beech ,30,13.93
Liquidambar styraciflua ,Sweet gum         ,28,19.74
Liriodendron tulipifera ,Tulip poplar     ,14,37.11
Nyssa sylvatica         ,Black gum ,23,12.5
Quercus alba            ,White oak ,19,17.31
